;SYNEC_CELL.ML;PROC_CELL.ML;BACT_HETERO_CELL.ML;Prokaryotes_CELL.ML
zr2991_118V4V5;5630;8630;471000;485260
zr2991_11V4V5;230;200;25000;25430
zr2991_121V4V5;660;157;81000;81817
zr2991_126V4V5;110;107;20400;20617
zr2991_130V4V5;17000;37200;612000;666200
zr2991_132V4V5;70;83.3;11500;11653.3
zr2991_190V4V5;16800;22300;525000;564100
zr2991_191V4V5;113;66.7;20500;20679.7
zr2991_194V4V5;96.7;457;103000;103553.7
zr2991_196V4V5;86.7;140;26600;26826.7
zr2991_197V4V5;810;1460;34600;36870
zr2991_201V4V5;183;150;125000;125333
zr2991_202V4V5;1100;12300;210000;223400
zr2991_28V4V5;11800;36900;502000;550700
zr2991_37V4V5;263;143;104000;104406
zr2991_71V4V5;2720;360;14500;17580
zr2991_74V4V5;403;783;117000;118186
zr2991_75V4V5;330;400;14900;15630
zr2991_76V4V5;17000;5910;443000;465910
zr2991_78V4V5;610;117;16900;17627
zr2991_84V4V5;1440;693;83700;85833
zr2991_88V4V5;280;453;25200;25933
zr2991_94V4V5;657;593;45000;46250
zr2991_99V4V5;153;177;47800;48130
